State,City,County,SourceType,Name,URL,Description, group_id, id, State2, show_county_header
Colleges and Universities,Colleges and Universities,"University of Connecticut, Stamford","University of Connecticut, Stamford Daily Crime Log",https://police-universitysafety.media.uconn.edu/wp-content/uploads/sites/3666/2025/02/Daily-Blotter-020125-Stamford.pdf,0,29,Colleges,False
Colleges and Universities,Colleges and Universities,"University of Connecticut, Waterbury","University of Connecticut, Waterbury Daily Crime Log",https://police-universitysafety.media.uconn.edu/wp-content/uploads/sites/3666/2025/02/Daily-Blotter-020125-WB.pdf,0,30,Colleges,False
Colleges and Universities,Colleges and Universities,Yale University,Yale University Daily Crime Log,https://yaleedu.sharepoint.com/sites/publicsafety/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fpublicsafety%2FShared%20Documents%2FDaily%20Crime%20Log%20Supplement%20MAY%2011&p=true&ga=1,0,31,Colleges,False
Colleges and Universities,Colleges and Universities,Delaware State University,Delaware State University Daily Crime and Fire Log,https://www.desu.edu/about/police-department/daily-crime-fire-log,0,32,Colleges,False
Colleges and Universities,Colleges and Universities,University of Delaware,University of Delaware Daily Crime Log,https://www1.udel.edu/police/crime-stats/2025/,0,33,Colleges,False
Colleges and Universities,Colleges and Universities,Florida Atlantic University,Florida Atlantic University Daily Crime Log,https://www.fau.edu/police/information/daily-blotter/,0,34,Colleges,False
Colleges and Universities,Colleges and Universities,Florida Golf Coast University,Florida Golf Coast University Daily Crime Log,https://www.fgcu.edu/upd/safety,0,35,Colleges,False
Colleges and Universities,Colleges and Universities,Florida State University,Florida State University Daily Crime Log,https://police.fsu.edu/crime-log,0,36,Colleges,False
Colleges and Universities,Colleges and Universities,Florida State University,Florida State University Daily Fire Log,https://police.fsu.edu/FSU_FireLog,0,37,Colleges,False
Colleges and Universities,Colleges and Universities,Sexual Offenders and Predators by University,Sexual Offenders and Predators Search by University,https://offender.fdle.state.fl.us/offender/sops/universitySearch.jsf,0,38,Colleges,False
Colleges and Universities,Colleges and Universities,Augusta University,Augusta University Daily Crime Log,https://www.augusta.edu/police/cleryandcrime/documents/2025.02.05.crimelog.pdf,0,39,Colleges,False
Colleges and Universities,Colleges and Universities,Emory University,Emory University Daily Crime Log,https://cssso.emory.edu/fmit/CrimeLog/CrimeLog.aspx?camp=Atlanta&fire=N,0,40,Colleges,False
Colleges and Universities,Colleges and Universities,Emory University,Emory University Daily Fire Log,https://cssso.emory.edu/fmit/CrimeLog/CrimeLog.aspx?camp=Atlanta&fire=Y,0,41,Colleges,False
Colleges and Universities,Colleges and Universities,University of Georgia,University of Georgia Police Daily Crime Log,https://police.uga.edu/news-updates/daily-log/,0,42,Colleges,False
Colleges and Universities,Colleges and Universities,Boise State University,Boise State University Daily Crime Log,https://www.boisestate.edu/publicsafety-security/wp-content/uploads/sites/48/2025/01/2025-Boise-State-Crime-Log.pdf,0,43,Colleges,False
Colleges and Universities,Colleges and Universities,Boise State University,Boise State University Daily Crime Log,https://www.boisestate.edu/publicsafety-security/campus-crime/campus-crime-log,0,44,Colleges,False
Colleges and Universities,Colleges and Universities,Boise State University,Boise State University Daily Crime Log PDF,https://www.boisestate.edu/publicsafety-security/wp-content/uploads/sites/48/2025/02/2025-Boise-State-Crime-Log.pdf,0,45,Colleges,False
Colleges and Universities,Colleges and Universities,College of Southern Idaho,College of Southern Idaho Daily Crime Log,https://www.csi.edu/security/crime-statistics/daily-crime-log.aspx?utm_source=chatgpt.com,0,46,Colleges,False
Colleges and Universities,Colleges and Universities,College of Western Idaho,College of Western Idaho 2025 Daily Crime Log,https://cwi.edu/sites/default/files/1/2025_daily_crime_log.pdf,0,47,Colleges,False
Colleges and Universities,Colleges and Universities,Idaho State University,Idaho State University Daily Crime Log,https://docs.google.com/spreadsheets/d/1XwXGqh5xiRwGKsmMYH1pTVnfZFPzUXcHbgdKF_lOgmM/edit?pli=1&gid=99157840#gid=99157840,0,48,Colleges,False
Colleges and Universities,Colleges and Universities,University of Idaho,University of Idaho Daily Crime and Fire Log,https://vandalsuidaho-my.sharepoint.com/:x:/g/personal/skeen_uidaho_edu/EeYPl3Pe6LFNigPGnIoGr90BYNGskVSY4RaTSkkGhY1zKw?rtime=4iyucJFA3Ug,0,49,Colleges,False
Colleges and Universities,Colleges and Universities,University of Chicago,University of Chicago Daily Crime Log,https://incidentreports.uchicago.edu/rss.php?ReportType=incident,0,50,Colleges,False
Colleges and Universities,Colleges and Universities,"University of Illinois, Chicago","University of Illinois, Chicago Daily Crime Log",https://police.uic.edu/crime-data/daily-crime-log/,0,51,Colleges,False
Colleges and Universities,Colleges and Universities,Indiana University,Indiana University Daily Crime Log,https://protect.iu.edu/iu-police-department/campus-security-reports/crime-log/daily-logs.html,0,52,Colleges,False
Colleges and Universities,Colleges and Universities,University of Iowa,University of Iowa Daily Crime Log,https://safety.uiowa.edu/crime-log,0,53,Colleges,False
Colleges and Universities,Colleges and Universities,University of Iowa,University of Iowa Daily Fire Log,https://safety.uiowa.edu/fire-log,0,54,Colleges,False
Colleges and Universities,Colleges and Universities,Kansas State University,Kansas State University Fire Log,https://www.k-state.edu/safety/programs/fire/firelog/,0,55,Colleges,False
Colleges and Universities,Colleges and Universities,Kansas State University,Kansas State University Police Department Daily Activity Logs,https://www.k-state.edu/police/reports/logs/,0,56,Colleges,False
Colleges and Universities,Colleges and Universities,University of Kansas,University of Kansas Crime Data,https://cityprotect.com/agency/kupolice,0,57,Colleges,False
Colleges and Universities,Colleges and Universities,University of Kentucky,University of Kentucky Daily Crime Log,https://crimelog.uky.edu/,0,58,Colleges,False
